mainid,datasourceid,locationid,taxonname,lon,lat,reference,ott_id,name_cleaned,ncbi_id,genus,family,order,class,phylum,kingdom,taxon_rank
1,1,1,Bonasa bonasia,57,62,"Oikos, 71:375-380",259105,Tetrastes bonasia,1155787,Tetrastes,Phasianidae,Galliformes,Aves,Chordata,Metazoa,species
2,2,2,Anolis limifrons,-79.83333333,9.166666667,"Ecology, 72:1204-1217",245842,Anolis limifrons,38897,Anolis,Dactyloidae,Squamata,Lepidosauria,Chordata,Metazoa,species
3,3,411,Ischnura elegans,-0.183333333,52.43333333,"Odontologica, 20:203-231",253311,Ischnura elegans,197161,Ischnura,Coenagrionidae,Odonata,Insecta,Arthropoda,Metazoa,species
4,3,411,Sympetrum striolatum,-0.183333333,52.43333333,"Odontologica, 20:203-231",569010,Sympetrum striolatum,6969,Sympetrum,Libellulidae,Odonata,Insecta,Arthropoda,Metazoa,species
5,3,411,Libellula quadrimaculata,-0.183333333,52.43333333,"Odontologica, 20:203-231",117550,Libellula quadrimaculata,70395,Libellula,Libellulidae,Odonata,Insecta,Arthropoda,Metazoa,species
6,3,411,Coenagrion puella,-0.183333333,52.43333333,"Odontologica, 20:203-231",412684,Coenagrion puella,116143,Coenagrion,Coenagrionidae,Odonata,Insecta,Arthropoda,Metazoa,species
7,3,411,Lestes sponsa,-0.183333333,52.43333333,"Odontologica, 20:203-231",408280,Lestes sponsa,197164,Lestes,Lestidae,Odonata,Insecta,Arthropoda,Metazoa,species
20,7,6,Somateria mollissima,10,58,Unpublished data 3,785961,Somateria mollissima,76058,Somateria,Anatidae,Anseriformes,Aves,Chordata,Metazoa,species
43,7,7,Phalacrocorax carbo,12,58,Unpublished data 3,969841,Phalacrocorax carbo,9209,Phalacrocorax,Phalacrocoracidae,Suliformes,Aves,Chordata,Metazoa,species
44,9,8,Apodemus sylvaticus,-1.333333333,51.7,"Ecology of Small Mammals ed by D.M. Stoddart, Chapman & Hall, London",794922,Apodemus sylvaticus,10129,Apodemus,Muridae,Rodentia,Mammalia,Chordata,Metazoa,species
45,9,8,Apodemus sylvaticus,-1.333333333,51.7,"Ecology of Small Mammals ed by D.M. Stoddart, Chapman & Hall, London",794922,Apodemus sylvaticus,10129,Apodemus,Muridae,Rodentia,Mammalia,Chordata,Metazoa,species
46,9,8,Clethrionomys glareolus,-1.333333333,51.7,"Ecology of Small Mammals ed by D.M. Stoddart, Chapman & Hall, London",1051603,Myodes glareolus,447135,Myodes,Cricetidae,Rodentia,Mammalia,Chordata,Metazoa,species
47,9,8,Clethrionomys glareolus,-1.333333333,51.7,"Ecology of Small Mammals ed by D.M. Stoddart, Chapman & Hall, London",1051603,Myodes glareolus,447135,Myodes,Cricetidae,Rodentia,Mammalia,Chordata,Metazoa,species
