ID,error,error_reason,whole_estimate.r,whole_estimate.K,whole_estimate.sigma,whole_se.r,whole_se.K,whole_se.sigma,whole_converged,part,estimate.r,estimate.K,estimate.sigma,se.r,se.K,se.sigma,converged
44,FALSE,NA,0,1,1,NA,NA,NA,FALSE,1,0,1,1,NA,NA,NA,FALSE
44,FALSE,NA,0,1,1,NA,NA,NA,FALSE,2,0,1,1,NA,NA,NA,FALSE
98,FALSE,NA,0,1,1,NA,NA,NA,FALSE,1,0,1,1,NA,NA,NA,FALSE
98,FALSE,NA,0,1,1,NA,NA,NA,FALSE,2,0,1,1,NA,NA,NA,FALSE
204,FALSE,NA,0.5144758705945802,138.73603953808,0.6622652339118491,0.1559551075009007,28.21732495484183,0.06981788526119506,TRUE,1,0.6970821452092015,80.27644569202798,0.7547522868993991,0.2400038226984483,19.2656655229057,0.11378207925912792,TRUE
204,FALSE,NA,0.5144758705945802,138.73603953808,0.6622652339118491,0.1559551075009007,28.21732495484183,0.06981788526119506,TRUE,2,0.5442395223620209,177.0107964503296,0.45365028755438486,0.19383505424026817,32.34805696550109,0.06838790759006819,TRUE
212,FALSE,NA,0,1,1,NA,NA,NA,FALSE,1,0,1,1,NA,NA,NA,FALSE
212,FALSE,NA,0,1,1,NA,NA,NA,FALSE,2,0,1,1,NA,NA,NA,FALSE
284,FALSE,NA,0.2288322274452243,2462.1981392757343,0.30399647018125187,0.09502665522008588,415.7782747484556,0.027300426783002468,TRUE,1,0.13461628937086345,1394.8789618857188,0.32747138572557155,0.11444611001032168,682.5992350609783,0.04158531168330713,TRUE
284,FALSE,NA,0.2288322274452243,2462.1981392757343,0.30399647018125187,0.09502665522008588,415.7782747484556,0.027300426783002468,TRUE,2,0.8831262309341479,3198.056926533797,0.1975741212604628,0.15062244547883702,132.31226036693872,0.025092029622925022,TRUE
314,FALSE,NA,0.17605303913781395,100.03378515278628,2.158969546800156,0.30932534309740584,156.0161817142705,0.19388112847157862,TRUE,1,0.33470794016173966,208.74076996471305,1.731364851805983,0.3794219646367229,194.30098521417725,0.21987996508702842,TRUE
314,FALSE,NA,0.17605303913781395,100.03378515278628,2.158969546800156,0.30932534309740584,156.0161817142705,0.19388112847157862,TRUE,2,0.5300415769357514,29.89666345969039,2.3542905944529835,0.5025844199741325,23.882598476425155,0.2989807892690414,TRUE
