mainid,year,population,air_temp
1,1959,130,271.4926452636719
1,1960,0,269.750244140625
1,1961,40,272.6121826171875
1,1962,90,273.2987976074219
1,1963,220,270.5395202636719
1,1964,300,271.199462890625
1,1965,285,271.0161437988281
1,1966,100,270.21588134765625
1,1967,80,274.0461730957031
1,1968,110,269.9159240722656
1,1969,55,268.8057556152344
1,1970,40,271.98736572265625
1,1971,10,270.8620300292969
1,1972,10,271.0295715332031
1,1973,100,271.8726806640625
1,1974,115,272.26104736328125
1,1975,50,272.6103515625
1,1976,40,271.0192565917969
1,1977,60,272.0889587402344
1,1978,35,270.3529968261719
1,1979,30,270.1661682128906
1,1980,90,271.5586853027344
1,1981,160,273.46185302734375
1,1982,215,271.28271484375
1,1983,150,272.6733703613281
1,1984,50,270.864501953125
1,1985,70,270.5431823730469
1,1986,40,270.3783874511719
1,1987,55,270.788330078125
1,1988,170,272.30169677734375
2,1971,80,300.9264831542969
2,1972,55,301.1026916503906
2,1973,39,301.34326171875
2,1974,42,300.80010986328125
2,1975,27,300.91937255859375
2,1976,115,301.0095520019531
2,1977,83,301.1717529296875
2,1978,150,301.09173583984375
2,1979,62,301.4505615234375
2,1980,55,301.4620056152344
2,1981,35,301.21966552734375
2,1982,28,301.220458984375
2,1983,0,301.3838806152344
2,1984,0,301.172607421875
2,1985,5,301.2557067871094
2,1986,22,301.3045349121094
2,1987,42,301.61077880859375
2,1988,10,301.5918273925781
2,1989,30,301.2308044433594
3,1962,12,281.4272155761719
3,1963,26,281.2166442871094
3,1964,41,282.2041320800781
3,1965,14,281.9313659667969
3,1966,30,282.6475830078125
3,1967,33,282.6557922363281
3,1968,15,282.336669921875
3,1969,25,282.4615478515625
3,1970,18,282.5784606933594
3,1971,38,282.8247985839844
3,1972,7,282.36993408203125
3,1973,25,282.5690612792969
3,1974,10,282.6102294921875
3,1975,25,282.7626647949219
3,1976,13,282.9287109375
3,1977,9,282.57763671875
3,1978,30,282.520263671875
3,1979,27,282.04351806640625
3,1980,22,282.4928283691406
3,1981,27,282.2745056152344
3,1982,43,283.0094299316406
3,1983,45,282.87005615234375
3,1984,32,282.5283203125
3,1985,22,281.81866455078125
3,1986,15,281.7547302246094
3,1987,12,281.9768981933594
3,1988,16,282.803955078125
4,1962,19,281.4272155761719
4,1963,18,281.2166442871094
4,1964,16,282.2041320800781
4,1965,12,281.9313659667969
4,1966,16,282.6475830078125
4,1967,12,282.6557922363281
4,1968,17,282.336669921875
4,1969,7,282.4615478515625
4,1970,8,282.5784606933594
4,1971,4,282.8247985839844
4,1972,4,282.36993408203125
4,1973,9,282.5690612792969
4,1974,8,282.6102294921875
4,1975,2,282.7626647949219
4,1976,6,282.9287109375
4,1977,9,282.57763671875
4,1978,11,282.520263671875
4,1979,8,282.04351806640625
4,1980,4,282.4928283691406
4,1981,4,282.2745056152344
4,1982,6,283.0094299316406
4,1983,6,282.87005615234375
