taxonname,name_cleaned,search_string,unique_name,approximate_match,score,ott_id,is_synonym,flags,number_matches
Bonasa bonasia,Tetrastes bonasia,bonasa bonasia,Tetrastes bonasia,FALSE,1,259105,TRUE,NA,1
Anolis limifrons,Anolis limifrons,anolis limifrons,Anolis limifrons,FALSE,1,245842,FALSE,NA,4
Ischnura elegans,Ischnura elegans,ischnura elegans,Ischnura elegans,FALSE,1,253311,FALSE,NA,1
Sympetrum striolatum,Sympetrum striolatum,sympetrum striolatum,Sympetrum striolatum,FALSE,1,569010,FALSE,NA,1
Libellula quadrimaculata,Libellula quadrimaculata,libellula quadrimaculata,Libellula quadrimaculata,FALSE,1,117550,FALSE,NA,1
Coenagrion puella,Coenagrion puella,coenagrion puella,Coenagrion puella,FALSE,1,412684,FALSE,NA,1
Lestes sponsa,Lestes sponsa,lestes sponsa,Lestes sponsa,FALSE,1,408280,FALSE,NA,1
Haematopus ostralegus,Haematopus ostralegus,haematopus ostralegus,Haematopus ostralegus,FALSE,1,225423,FALSE,NA,1
Charadrius hiaticula,Charadrius hiaticula,charadrius hiaticula,Charadrius hiaticula,FALSE,1,425445,FALSE,NA,1
Pluvialis squatarola,Pluvialis squatarola,pluvialis squatarola,Pluvialis squatarola,FALSE,1,917054,FALSE,NA,1
Calidris canutus,Calidris canutus,calidris canutus,Calidris canutus,FALSE,1,214779,FALSE,sibling_higher,1
Calidris alba,Calidris alba,calidris alba,Calidris alba,FALSE,1,654824,FALSE,sibling_higher,1
Calidris alpina,Calidris alpina,calidris alpina,Calidris alpina,FALSE,1,887705,FALSE,sibling_higher,1
Limosa limosa,Limosa limosa,limosa limosa,Limosa limosa,FALSE,1,719086,FALSE,NA,1
Limosa lapponica,Limosa lapponica,limosa lapponica,Limosa lapponica,FALSE,1,304018,FALSE,NA,1
Numenius arquata,Numenius arquata,numenius arquata,Numenius arquata,FALSE,1,971518,FALSE,NA,1
Tringa totanus,Tringa totanus,tringa totanus,Tringa totanus,FALSE,1,917056,FALSE,NA,1
Arenaria interpres,Arenaria interpres,arenaria interpres,Arenaria interpres,FALSE,1,821753,FALSE,NA,1
Salmo salar,Salmo salar,salmo salar,Salmo salar,FALSE,1,688328,FALSE,NA,1
Somateria mollissima,Somateria mollissima,somateria mollissima,Somateria mollissima,FALSE,1,785961,FALSE,NA,1
Gavia adamsii,Gavia adamsii,gavia adamsii,Gavia adamsii,FALSE,1,90560,FALSE,NA,1
Podiceps grisegena,Podiceps grisegena,podiceps grisegena,Podiceps grisegena,FALSE,1,740071,FALSE,NA,1
Phalacrocorax carbo,Phalacrocorax carbo,phalacrocorax carbo,Phalacrocorax carbo,FALSE,1,969841,FALSE,NA,1
Ardea cinerea,Ardea cinerea,ardea cinerea,Ardea cinerea,FALSE,1,119222,FALSE,NA,1
Cygnus olor,Cygnus olor,cygnus olor,Cygnus olor,FALSE,1,140314,FALSE,NA,1
Cygnus cygnus,Cygnus cygnus,cygnus cygnus,Cygnus cygnus,FALSE,1,817994,FALSE,NA,1
Branta canadensis,Branta canadensis,branta canadensis,Branta canadensis,FALSE,1,714461,FALSE,NA,1
Anas platyrhynchos,Anas platyrhynchos,anas platyrhynchos,Anas platyrhynchos,FALSE,1,765167,FALSE,sibling_higher,1
Aythya fuligula,Aythya fuligula,aythya fuligula,Aythya fuligula,FALSE,1,817992,FALSE,NA,1
Somateria spectablis,Somateria spectabilis,somateria spectablis,Somateria spectabilis,TRUE,0.952380955,633262,FALSE,NA,5
Polysticta stelleri,Polysticta stelleri,polysticta stelleri,Polysticta stelleri,FALSE,1,1050966,FALSE,NA,1
Clangula hyemalis,Clangula hyemalis,clangula hyemalis,Clangula hyemalis,FALSE,1,316879,FALSE,NA,1
Melanitta nigra,Melanitta nigra,melanitta nigra,Melanitta nigra,FALSE,1,948668,FALSE,NA,1
Melanitta fusca,Melanitta fusca,melanitta fusca,Melanitta fusca,FALSE,1,972541,FALSE,NA,1
Bucephala clangula,Bucephala clangula,bucephala clangula,Bucephala clangula,FALSE,1,166683,FALSE,NA,1
Mergus serrator,Mergus serrator,mergus serrator,Mergus serrator,FALSE,1,662625,FALSE,NA,1
Mergus merganser,Mergus merganser,mergus merganser,Mergus merganser,FALSE,1,88388,FALSE,NA,1
Fulica atra,Fulica atra,fulica atra,Fulica atra,FALSE,1,1041538,FALSE,sibling_higher,1
Calidris maritima,Calidris maritima,calidris maritima,Calidris maritima,FALSE,1,855479,FALSE,sibling_higher,1
Cepphus grylle,Cepphus grylle,cepphus grylle,Cepphus grylle,FALSE,1,280901,FALSE,NA,1
Apodemus sylvaticus,Apodemus sylvaticus,apodemus sylvaticus,Apodemus sylvaticus,FALSE,1,794922,FALSE,NA,1
Clethrionomys glareolus,Myodes glareolus,clethrionomys glareolus,Myodes glareolus,FALSE,1,1051603,TRUE,NA,1
Clupea harengus,Clupea harengus,clupea harengus,Clupea harengus,FALSE,1,1005932,FALSE,NA,1
Fratercula arctica,Fratercula arctica,fratercula arctica,Fratercula arctica,FALSE,1,864865,FALSE,NA,1
Anthus pratensis,Anthus pratensis,anthus pratensis,Anthus pratensis,FALSE,1,870543,FALSE,NA,1
Oenanthe oenanthe,Oenanthe oenanthe,oenanthe oenanthe,Oenanthe oenanthe,FALSE,1,1092950,FALSE,NA,1
Alauda arvensis,Alauda arvensis,alauda arvensis,Alauda arvensis,FALSE,1,312548,FALSE,NA,1
Sturnus vulgaris,Sturnus vulgaris,sturnus vulgaris,Sturnus vulgaris,FALSE,1,565813,FALSE,sibling_higher,1
Vanellus vanellus,Vanellus vanellus,vanellus vanellus,Vanellus vanellus,FALSE,1,413796,FALSE,NA,1
Columba oenas,Columba oenas,columba oenas,Columba oenas,FALSE,1,921832,FALSE,NA,1
Corvus monedula,Corvus monedula,corvus monedula,Corvus monedula,FALSE,1,711848,FALSE,sibling_higher,1
Corvus corone,Corvus corone,corvus corone,Corvus corone,FALSE,1,711844,FALSE,sibling_higher,1
Prunella modularis,Prunella modularis,prunella modularis,Prunella modularis,FALSE,1,875990,FALSE,NA,1
Corvus corax,Corvus corax,corvus corax,Corvus corax,FALSE,1,140425,FALSE,sibling_higher,1
Emberiza schoeniclus,Emberiza schoeniclus,emberiza schoeniclus,Emberiza schoeniclus,FALSE,1,711856,FALSE,NA,1
Taxidea taxus,Taxidea taxus,taxidea taxus,Taxidea taxus,FALSE,1,754612,FALSE,NA,1
Ursus americanus,Ursus americanus,ursus americanus,Ursus americanus,FALSE,1,872577,FALSE,NA,1
Ursus arctos,Ursus arctos,ursus arctos,Ursus arctos,FALSE,1,872567,FALSE,NA,1
