lon,lat,series_id,study_id,spatial_unit,variable,taxonname,species_code,site_number,unit,ott_id,name_cleaned,ncbi_id,genus,family,order,class,phylum,kingdom,taxon_rank
-4.2167,39.9833,seriesM10104_site001_speciesQUEILE_varialbe_seed_unit_seeds/individual,M10104,stand,seed,Quercus ilex,QUEILE,001,seeds/individual,272692,Quercus ilex,58334,Quercus,Fagaceae,Fagales,Magnoliopsida,Streptophyta,Viridiplantae,species
20.82,69.07,seriesM00017_site001_speciesVACMYR_varialbe_flower_unit_flowers/m2,M00017,stand,flower,Vaccinium myrtillus,VACMYR,001,flowers/m2,817730,Vaccinium myrtillus,180763,Vaccinium,Ericaceae,Ericales,Magnoliopsida,Streptophyta,Viridiplantae,species
20.82,69.07,seriesM00017_site001_speciesVACMYR_varialbe_fruit_unit_fruits/m2,M00017,stand,fruit,Vaccinium myrtillus,VACMYR,001,fruits/m2,817730,Vaccinium myrtillus,180763,Vaccinium,Ericaceae,Ericales,Magnoliopsida,Streptophyta,Viridiplantae,species
20.8,69.04,seriesM00017_site002_speciesVACMYR_varialbe_flower_unit_flowers/m2,M00017,stand,flower,Vaccinium myrtillus,VACMYR,002,flowers/m2,817730,Vaccinium myrtillus,180763,Vaccinium,Ericaceae,Ericales,Magnoliopsida,Streptophyta,Viridiplantae,species
20.8,69.04,seriesM00017_site002_speciesVACMYR_varialbe_fruit_unit_fruits/m2,M00017,stand,fruit,Vaccinium myrtillus,VACMYR,002,fruits/m2,817730,Vaccinium myrtillus,180763,Vaccinium,Ericaceae,Ericales,Magnoliopsida,Streptophyta,Viridiplantae,species
114,-0.01,seriesM00267_site001_speciesDIPSPP_varialbe_fruit_unit_% individuals reproducing,M00267,stand,fruit,Dipterocarpaceae spp.,DIPSPP,001,% individuals reproducing,438195,Dipterocarpaceae spp.,40588,NA,Dipterocarpaceae,Malvales,Magnoliopsida,Streptophyta,Viridiplantae,family
-105.8949983,39.9014991,seriesM00284_site001_speciesPICENG_varialbe_seed_unit_seeds/m2,M00284,stand,seed,Picea engelmannii,PICENG,001,seeds/m2,248427,Picea engelmannii,3334,Picea,Pinaceae,Pinales,Pinopsida,Streptophyta,Viridiplantae,species
-105.8935121,39.90235748,seriesM00284_site002_speciesPICENG_varialbe_seed_unit_seeds/m2,M00284,stand,seed,Picea engelmannii,PICENG,002,seeds/m2,248427,Picea engelmannii,3334,Picea,Pinaceae,Pinales,Pinopsida,Streptophyta,Viridiplantae,species
-105.8624233,39.86263439,seriesM00284_site003_speciesPICENG_varialbe_seed_unit_seeds/m2,M00284,stand,seed,Picea engelmannii,PICENG,003,seeds/m2,248427,Picea engelmannii,3334,Picea,Pinaceae,Pinales,Pinopsida,Streptophyta,Viridiplantae,species
-105.8658915,39.86880731,seriesM00284_site004_speciesPICENG_varialbe_seed_unit_seeds/m2,M00284,stand,seed,Picea engelmannii,PICENG,004,seeds/m2,248427,Picea engelmannii,3334,Picea,Pinaceae,Pinales,Pinopsida,Streptophyta,Viridiplantae,species
