series_id,year,value,air_temp
seriesA00007_site001_speciesFAGSYL_varialbe_pollen_unit_grains/m3,2001,100,286.9300231933594
seriesA00007_site001_speciesFAGSYL_varialbe_pollen_unit_grains/m3,2002,12,287.16473388671875
seriesA00007_site001_speciesFAGSYL_varialbe_pollen_unit_grains/m3,2003,22,287.19580078125
seriesA00007_site001_speciesFAGSYL_varialbe_pollen_unit_grains/m3,2004,348,286.7160339355469
seriesA00007_site001_speciesFAGSYL_varialbe_pollen_unit_grains/m3,2005,16,286.12335205078125
seriesA00007_site001_speciesFAGSYL_varialbe_pollen_unit_grains/m3,2006,157,287.21807861328125
seriesA00007_site001_speciesFAGSYL_varialbe_pollen_unit_grains/m3,2007,112,287.2226867675781
seriesA00007_site001_speciesFAGSYL_varialbe_pollen_unit_grains/m3,2008,13,286.938232421875
seriesA00007_site001_speciesFAGSYL_varialbe_pollen_unit_grains/m3,2009,3,287.1330871582031
seriesA00007_site001_speciesFAGSYL_varialbe_pollen_unit_grains/m3,2010,168,286.0626525878906
seriesA00007_site001_speciesFAGSYL_varialbe_pollen_unit_grains/m3,2011,167,287.4508056640625
seriesA00007_site001_speciesFAGSYL_varialbe_pollen_unit_grains/m3,2012,2,287.1820373535156
seriesA00007_site001_speciesFAGSYL_varialbe_pollen_unit_grains/m3,2013,107,286.8470458984375
seriesA00007_site001_speciesFAGSYL_varialbe_pollen_unit_grains/m3,2014,0,287.754150390625
seriesA00007_site002_speciesFAGSYL_varialbe_pollen_unit_grains/m3,2000,0,286.24981689453125
seriesA00007_site002_speciesFAGSYL_varialbe_pollen_unit_grains/m3,2001,83,285.8069152832031
seriesA00007_site002_speciesFAGSYL_varialbe_pollen_unit_grains/m3,2002,54,285.98626708984375
seriesA00007_site002_speciesFAGSYL_varialbe_pollen_unit_grains/m3,2003,32,286.1201477050781
seriesA00007_site002_speciesFAGSYL_varialbe_pollen_unit_grains/m3,2004,1,285.635009765625
seriesA00007_site002_speciesFAGSYL_varialbe_pollen_unit_grains/m3,2005,17,284.866455078125
seriesA00007_site002_speciesFAGSYL_varialbe_pollen_unit_grains/m3,2006,111,286.0926208496094
seriesA00007_site002_speciesFAGSYL_varialbe_pollen_unit_grains/m3,2007,121,286.185546875
seriesA00007_site002_speciesFAGSYL_varialbe_pollen_unit_grains/m3,2008,40,285.96661376953125
seriesA00007_site002_speciesFAGSYL_varialbe_pollen_unit_grains/m3,2009,0,286.0528259277344
seriesA00007_site002_speciesFAGSYL_varialbe_pollen_unit_grains/m3,2010,8,284.97515869140625
seriesA00007_site002_speciesFAGSYL_varialbe_pollen_unit_grains/m3,2011,221,286.3272399902344
seriesA00007_site002_speciesFAGSYL_varialbe_pollen_unit_grains/m3,2012,2,286.09686279296875
seriesA00007_site002_speciesFAGSYL_varialbe_pollen_unit_grains/m3,2013,160,285.86212158203125
seriesA00007_site002_speciesFAGSYL_varialbe_pollen_unit_grains/m3,2014,1,286.7583312988281
seriesA00007_site002_speciesFAGSYL_varialbe_pollen_unit_grains/m3,2015,0,286.5915222167969
seriesA00007_site003_speciesFAGSYL_varialbe_pollen_unit_grains/m3,2000,4,287.2462158203125
seriesA00007_site003_speciesFAGSYL_varialbe_pollen_unit_grains/m3,2001,125,286.9300231933594
seriesA00007_site003_speciesFAGSYL_varialbe_pollen_unit_grains/m3,2002,89,287.16473388671875
seriesA00007_site003_speciesFAGSYL_varialbe_pollen_unit_grains/m3,2003,83,287.19580078125
seriesA00007_site003_speciesFAGSYL_varialbe_pollen_unit_grains/m3,2004,589,286.7160339355469
seriesA00007_site003_speciesFAGSYL_varialbe_pollen_unit_grains/m3,2005,9,286.12335205078125
seriesA00007_site003_speciesFAGSYL_varialbe_pollen_unit_grains/m3,2006,372,287.21807861328125
seriesA00007_site003_speciesFAGSYL_varialbe_pollen_unit_grains/m3,2007,289,287.2226867675781
seriesA00007_site003_speciesFAGSYL_varialbe_pollen_unit_grains/m3,2008,43,286.938232421875
seriesA00007_site003_speciesFAGSYL_varialbe_pollen_unit_grains/m3,2009,2,287.1330871582031
seriesA00007_site003_speciesFAGSYL_varialbe_pollen_unit_grains/m3,2010,12,286.0626525878906
seriesA00007_site003_speciesFAGSYL_varialbe_pollen_unit_grains/m3,2011,367,287.4508056640625
seriesA00007_site003_speciesFAGSYL_varialbe_pollen_unit_grains/m3,2012,0,287.1820373535156
seriesA00007_site003_speciesFAGSYL_varialbe_pollen_unit_grains/m3,2013,257,286.8470458984375
seriesA00007_site003_speciesFAGSYL_varialbe_pollen_unit_grains/m3,2014,4,287.754150390625
seriesA00007_site003_speciesFAGSYL_varialbe_pollen_unit_grains/m3,2015,0,287.7439270019531
seriesA00007_site004_speciesFAGSYL_varialbe_pollen_unit_grains/m3,2000,0,287.2462158203125
seriesA00007_site004_speciesFAGSYL_varialbe_pollen_unit_grains/m3,2001,101,286.9300231933594
seriesA00007_site004_speciesFAGSYL_varialbe_pollen_unit_grains/m3,2002,33,287.16473388671875
seriesA00007_site004_speciesFAGSYL_varialbe_pollen_unit_grains/m3,2003,0,287.19580078125
seriesA00007_site004_speciesFAGSYL_varialbe_pollen_unit_grains/m3,2004,379,286.7160339355469
seriesA00007_site004_speciesFAGSYL_varialbe_pollen_unit_grains/m3,2005,15,286.12335205078125
seriesA00007_site004_speciesFAGSYL_varialbe_pollen_unit_grains/m3,2006,304,287.21807861328125
seriesA00007_site004_speciesFAGSYL_varialbe_pollen_unit_grains/m3,2007,36,287.2226867675781
seriesA00007_site004_speciesFAGSYL_varialbe_pollen_unit_grains/m3,2008,NA,286.938232421875
seriesA00007_site004_speciesFAGSYL_varialbe_pollen_unit_grains/m3,2009,NA,287.1330871582031
seriesA00007_site004_speciesFAGSYL_varialbe_pollen_unit_grains/m3,2010,8,286.0626525878906
seriesA00007_site004_speciesFAGSYL_varialbe_pollen_unit_grains/m3,2011,205,287.4508056640625
seriesA00007_site004_speciesFAGSYL_varialbe_pollen_unit_grains/m3,2012,2,287.1820373535156
seriesA00011_site001_speciesPICABI_varialbe_pollen_unit_grains/m2,1964,1050000,271.166259765625
seriesA00011_site001_speciesPICABI_varialbe_pollen_unit_grains/m2,1965,900000,269.103271484375
seriesA00011_site001_speciesPICABI_varialbe_pollen_unit_grains/m2,1966,600000,268.5396728515625
