species,name_cleaned,search_string,unique_name,approximate_match,score,ott_id,is_synonym,flags,number_matches
Sasa veitchii,Sasa veitchii,sasa veitchii,Sasa veitchii,FALSE,1,659160,FALSE,sibling_higher,1
Quercus frainetto,Quercus frainetto,quercus frainetto,Quercus frainetto,FALSE,1,1065845,FALSE,,1
Carya glabra,Carya glabra,carya glabra,Carya glabra,FALSE,1,899017,FALSE,,1
Quercus alba,Quercus alba,quercus alba,Quercus alba,FALSE,1,791112,FALSE,,1
Quercus michauxii,Quercus michauxii,quercus michauxii,Quercus michauxii,FALSE,1,117129,FALSE,,1
Quercus velutina,Quercus velutina,quercus velutina,Quercus velutina,FALSE,1,581813,FALSE,,2
Quercus rubra,Quercus rubra,quercus rubra,Quercus rubra,FALSE,1,791115,FALSE,,1
Quercus stellata,Quercus stellata,quercus stellata,Quercus stellata,FALSE,1,316112,FALSE,,1
Quercus serrata,Quercus serrata,quercus serrata,Quercus serrata,FALSE,1,429766,FALSE,,2
Silene acaulis,Silene acaulis,silene acaulis,Silene acaulis,FALSE,1,637571,FALSE,,1
Quercus ilex,Quercus ilex,quercus ilex,Quercus ilex,FALSE,1,272692,FALSE,,2
Acer rubrum,Acer rubrum,acer rubrum,Acer rubrum,FALSE,1,1039827,FALSE,,2
Liriodendron tulipifera,Liriodendron tulipifera,liriodendron tulipifera,Liriodendron tulipifera,FALSE,1,777299,FALSE,,1
Aristolochia baetica,Aristolochia baetica,aristolochia baetica,Aristolochia baetica,FALSE,1,708571,FALSE,,1
Euphorbia pedroi,Euphorbia pedroi,euphorbia pedroi,Euphorbia pedroi,FALSE,1,1028488,FALSE,,1
Vitellaria paradoxa,Vitellaria paradoxa,vitellaria paradoxa,Vitellaria paradoxa,FALSE,1,194532,FALSE,,1
Vaccinium myrtillus,Vaccinium myrtillus,vaccinium myrtillus,Vaccinium myrtillus,FALSE,1,817730,FALSE,sibling_higher,2
Dipterocarpaceae spp.,Dipterocarpaceae spp.,dipterocarpaceae,Dipterocarpaceae,FALSE,1,438195,FALSE,,1
Fagus sylvatica,Fagus sylvatica,fagus sylvatica,Fagus sylvatica,FALSE,1,774712,FALSE,,1
Quercus robur,Quercus robur,quercus robur,Quercus robur,FALSE,1,239659,FALSE,,1
Picea engelmannii,Picea engelmannii,picea engelmannii,Picea engelmannii,FALSE,1,248427,FALSE,,1
Pinus pinea,Pinus pinea,pinus pinea,Pinus pinea,FALSE,1,568639,FALSE,,1
Pinus sylvestris,Pinus sylvestris,pinus sylvestris,Pinus sylvestris,FALSE,1,568619,FALSE,,1
Aciphylla aurea,Aciphylla aurea,aciphylla aurea,Aciphylla aurea,FALSE,1,1074884,FALSE,,1
Celmisia lyallii,Celmisia lyallii,celmisia lyallii,Celmisia lyallii,FALSE,1,7051129,FALSE,,1
Celmisia spectabilis,Celmisia spectabilis,celmisia spectabilis,Celmisia spectabilis,FALSE,1,4727400,FALSE,,1
Celmisia viscosa,Celmisia viscosa,celmisia viscosa,Celmisia viscosa,FALSE,1,7598236,FALSE,,1
Chionochloa macra,Chionochloa macra,chionochloa macra,Chionochloa macra,FALSE,1,293383,FALSE,,1
Jatropha curcas,Jatropha curcas,jatropha curcas,Jatropha curcas,FALSE,1,916001,FALSE,,1
Camellia kissi,Camellia kissii,camellia kissi,Camellia kissii,FALSE,1,285448,TRUE,,1
Castanopsis calathiformis,Castanopsis calathiformis,castanopsis calathiformis,Castanopsis calathiformis,FALSE,1,651165,FALSE,,1
Castanopsis echinocarpa,Castanopsis echinocarpa,castanopsis echinocarpa,Castanopsis echinocarpa,FALSE,1,651157,FALSE,,1
Castanopsis indica,Castanopsis indica,castanopsis indica,Castanopsis indica,FALSE,1,129487,FALSE,,1
Lithocarpus dealbatus,Lithocarpus dealbatus,lithocarpus dealbatus,Lithocarpus dealbatus,FALSE,1,877517,FALSE,sibling_higher,1
Lithocarpus magneinii,Lithocarpus magneinii,lithocarpus magneinii,Lithocarpus magneinii,FALSE,1,3930227,FALSE,sibling_higher,1
Lithocarpus truncatus,Lithocarpus truncatus,lithocarpus truncatus,Lithocarpus truncatus,FALSE,1,302757,FALSE,sibling_higher,1
