LocationID,ExactName,TownName,CountyStateProvince,Country,Continent,Ocean,LongitudeDegrees,LongitudeMinutes,EorW,LatitudeDegrees,LatitudeMinutes,NorS,LongDD,LatDD,North,East,South,West,Altitude,Area,Notes,SpatialAccuracy,LocationExtent
1,Pechoro-Ilych Reserve,Not applicable,Komi Republic,Russian Federation,Europe,Not applicable,57,0,E,62,0,N,57,62,64,59.5,61,53.5,,720000,None,3,1
2,"Lutz site, Barro Colorado Island, Panama canal",Not applicable,Panama Canal zone,Panama,South America,Not applicable,79,50,W,9,10,N,-79.83333333,9.166666667,9.17,-79.83,9.17,-79.83,,0.089,"The site was 890 m^2 from 1971 to 1981 and 1450 m^2 in 1982 when it was increased in size to compensate for low lizard density, however this figure was adjusted. Isolated from mainland in 1914, with construction of Panama Canal",3,4
4,British coastline,Not applicable,Not applicable,United Kingdom,Europe,Not applicable,1,0,W,55,0,N,-1,55,56.65,1.7667,49.8833,-7.65,,,"Area of sample covers 119 sites around the British coastline, latitude and Long. values are means for Great Britain.",1,1
5,River Drammenselva,Drammen,Buskerud,Norway,Europe,Not applicable,10,0,E,60,0,N,10,60,60,10,60,10,,,"Discharge rate 225 cum/sec. Drainage area 17140sq km. River width at mouth 200m. Pulp mill pollution in mid 20th century, now much improved.",3,1
6,Skagerrak,Not applicable,Not applicable,Norway,Europe,North Sea,10,0,E,58,0,N,10,58,59.05,11.5,57,8,0,,None,4,2
7,Norwegian coast,Not applicable,Not applicable,Norway,Europe,Not applicable,12,0,E,58,0,N,12,58,71,31,57.5,4.75,,,Includes 300 sites in 10 survey areas from 58 N to 67 N.,1,1
8,Wytham Wood,Wytham,Oxfordshire,UK - England,Europe,Not applicable,1,20,W,51,42,N,-1.333333333,51.7,51.7667,-1.2833,51.75,-1.3333,,959,1.8ha area within Wytham Wood. Bounding box coordinates for Wytham Wood.,4,2
9,Froan (Islands),Not applicable,Sor - Trondelag,Norway,Europe,Not applicable,8,32,E,63,55,N,8.533333333,63.91666667,64.1667,9.4,63.9333,8.9833,,,None,4,2
10,Grogna,Not applicable,Sor - Trondelag,Norway,Europe,Not applicable,8,40,E,63,50,N,8.666666667,63.83333333,63.83,8.67,63.83,8.67,,,None,4,2
12,Melstein (Island),Not applicable,Sor - Trondelag,Norway,Europe,Not applicable,9,15,E,64,0,N,9.25,64,63.9833,9.5833,63.95,9.5667,,,None,4,2
13,Vikna (Island),Not applicable,Nord-Trondelag,Norway,Europe,Not applicable,11,0,E,64,55,N,11,64.91666667,64.92,10.55,64.92,10.55,,,None,4,2
14,Sklinna (Island),Not applicable,Nord-Trondelag,Norway,Europe,Not applicable,10,50,E,65,5,N,10.83333333,65.08333333,65.2166,11,65.1833,10.95,,,None,4,2
15,Scandinavian Atlantic,Not applicable,Not applicable,Multiple or International jurisdiction,Europe,Atlantic,10,0,W,65,0,N,-10,65,70,24,58,-30,0,,None,2,1
16,Barents Sea,Not applicable,Not applicable,Multiple or International jurisdiction,Europe,Arctic,35,0,E,71,0,N,35,71,80,60.5,67,20,0,,None,3,1
17,"Hernyken, Rost",Not applicable,Nordland,Norway,Europe,Not applicable,11,52,E,67,26,N,11.86666667,67.43333333,67.43,11.87,67.43,11.87,96,16.6,None,4,3
18,Skokholm Island,Milford Haven,Pembrokeshire,UK - Wales,Europe,Not applicable,5,9,W,51,42,N,-5.15,51.7,51.7,-5.25,51.6833,-5.2833,25,100,Very little human interference. Skokholm is 2 miles from the mainland. It is virtually treeless and the flat top of the island consists mainly of grass and bracken.,3,3
19,Alberta,Not applicable,Alberta,Canada,North America,Not applicable,115,0,W,55,0,N,-115,55,60,-109.9667,49,-119.95,,66118815,Latitude/Long indicates approximate centre of Province.,4,1
20,British Columbia,Not applicable,British Columbia,Canada,North America,Not applicable,125,0,W,55,0,N,-125,55,60,-119.95,49,-139,,94860045,Latitude/Long indicates approximate centre of Province.,4,1
21,Manitoba,Not applicable,Manitoba,Canada,North America,Not applicable,98,0,W,55,0,N,-98,55,60,-89,49,-102.0167,,65009000,Latitude/Long indicates approximate centre of Province.,4,1
22,New Brunswick,Not applicable,New Brunswick,Canada,North America,Not applicable,67,0,W,47,0,N,-67,47,47.9833,-63.7833,44.8167,-69.0667,,7343686,Latitude/Long indicates approximate centre of Province.,4,1
23,Newfoundland,Not applicable,Newfoundland,Canada,North America,Not applicable,53,0,W,48,0,N,-53,48,60.6667,-52.9667,47.6,-64.6833,,40451915,Latitude/Long indicates approximate centre of Province.,4,1
24,Northwest Territories,Not applicable,Northwest Territories,Canada,North America,Not applicable,100,0,W,67,0,N,-100,67,78.6833,-102.0167,60,-136.1167,,324640400,Latitude/Long indicates approximate centre of Province.,4,1
25,Nova Scotia,Not applicable,Nova Scotia,Canada,North America,Not applicable,63,0,W,45,0,N,-63,45,46.9667,-59.8667,43.5333,-66.25,,5549075,Latitude/Long indicates approximate centre of Province.,4,1
26,Ontario,Not applicable,Ontario,Canada,North America,Not applicable,88,0,W,52,0,N,-88,52,56.85,-74.2833,41.7,-95.1667,,10685738,Latitude/Long indicates approximate centre of Province.,4,1
27,Prince Edward Island,Not applicable,Prince Edward Island,Canada,North America,Not applicable,63,0,W,47,0,N,-63,47,47.05,-61.9667,45.9333,-64.4167,,565656,Latitude/Long indicates approximate centre of Province.,4,1
28,Quebec,Not applicable,Quebec,Canada,North America,Not applicable,73,0,W,52,0,N,-73,52,62.55,-57.0833,44.9833,-79.4167,,154068740,Latitude/Long indicates approximate centre of Province.,4,1
29,Saskatchewan,Not applicable,Saskatchewan,Canada,North America,Not applicable,104,0,W,55,0,N,-104,55,60,-101.3667,49,-109.9667,,65190300,Latitude/Long indicates approximate centre of Province.,4,1
30,Yukon,Not applicable,Yukon,Canada,North America,Not applicable,155,0,W,65,0,N,-155,65,69.6333,-123.75,60,-140.9167,,53632700,Latitude/Long indicates approximate centre of Province.,4,1
31,Alabama,Not applicable,Alabama,USA,North America,Not applicable,87,0,W,33,0,N,-87,33,34.9667,-85,30.2,-88.1833,,13148394,None,4,1
32,Alaska,Not applicable,Alaska,USA,North America,Not applicable,155,0,W,65,0,N,-155,65,68.75,-140.95,54.7,-164.8,,147845747,None,4,1
33,Arizona,Not applicable,Arizona,USA,North America,Not applicable,112,0,W,34,0,N,-112,34,36.9833,-109.0333,31.03167,-114.8,,29399090,None,4,1
34,Arkansas,Not applicable,Arkansas,USA,North America,Not applicable,98,0,W,34,0,N,-98,34,36.4833,-89.6333,33.0167,-94.6,,13489238,None,4,1
35,California,Not applicable,California,USA,North America,Not applicable,119,0,W,37,0,N,-119,37,41.9833,-114.1167,32.7,-124.21,,40480923,None,4,1
36,Colorado,Not applicable,Colorado,USA,North America,Not applicable,116,0,W,38,0,N,-116,38,41,-102.0333,36.9833,-109.0333,,26831882,None,4,1
37,Connecticut,Not applicable,Connecticut,USA,North America,Not applicable,73,0,W,42,0,N,-73,42,42.01667,-71.8167,40.9667,-73.4833,,1261848,None,4,1
38,Delaware,Not applicable,Delaware,USA,North America,Not applicable,74,0,W,39,0,N,-74,39,39.8167,-75.05,38.45,-75.7833,,500647,None,4,1
39,Florida,Not applicable,Florida,USA,North America,Not applicable,82,0,W,30,0,N,-82,30,30.85,-80.0833,24.5333,-87.6333,,14026663,None,4,1
40,Georgia,Not applicable,Georgia,USA,North America,Not applicable,83,0,W,33,0,N,-83,33,34.9833,-80.8333,30.7,-85.6,,15037540,None,4,1
41,Idaho,Not applicable,Idaho,USA,North America,Not applicable,114,0,W,44,0,N,-114,44,48.9667,-111.0167,41.9833,-117,,21344967,None,4,1
42,Illinois,Not applicable,Illinois,USA,North America,Not applicable,89,0,W,39,0,N,-89,39,42.4833,-87.4833,89.25,-91.4833,,14412314,None,4,1
43,Indiana,Not applicable,Indiana,USA,North America,Not applicable,86,0,W,40,0,N,-86,40,41.75,-84.7833,37.7667,-91.4833,,9307424,None,4,1
44,Iowa,Not applicable,Iowa,USA,North America,Not applicable,94,0,W,42,0,N,-94,42,43.4833,-90.1333,40.5667,-98.5833,,14494935,None,4,1
45,Kansas,Not applicable,Kansas,USA,North America,Not applicable,97,0,W,39,0,N,-97,39,40,-94.5833,36.9833,-102.0333,,21181797,None,4,1
46,Kentucky,Not applicable,Kentucky,USA,North America,Not applicable,85,0,W,38,0,N,-85,38,39.1167,-81.9667,89.4333,-89.4,,10275566,None,4,1
47,Louisiana,Not applicable,Louisiana,USA,North America,Not applicable,97,0,W,31,0,N,-97,31,33,-88.8,28.9167,-94.0333,,11530680,None,4,1
48,Maine,Not applicable,Maine,USA,North America,Not applicable,69,0,W,45,0,N,-69,45,47.35,-66.95,43.0333,-71.05,,8027705,None,4,1
49,Maryland,Not applicable,Maryland,USA,North America,Not applicable,76,0,W,39,0,N,-76,39,39.7,-75.05,37.8667,-79.4667,,2548042,None,4,1
50,Massachusetts,Not applicable,Massachusetts,USA,North America,Not applicable,73,0,W,42,0,N,-73,42,42.85,-69.95,41.2833,-73.5,,2026934,None,4,1
51,Michigan,Not applicable,Michigan,USA,North America,Not applicable,85,0,W,44,0,N,-85,44,48.2833,-82.1167,41.75,-90.4,,14752381,None,4,1
52,Minnesota,Not applicable,Minnesota,USA,North America,Not applicable,95,0,W,46,0,N,-95,46,49.3667,-89.5,43.4833,-97.2333,,20602932,None,4,1
53,Mississippi,Not applicable,Mississippi,USA,North America,Not applicable,90,0,W,33,0,N,-90,33,35,-88.3667,30.1667,-91.6333,,12233606,None,4,1
54,Missouri,Not applicable,Missouri,USA,North America,Not applicable,98,0,W,38,0,N,-98,38,40.6,-89.1,35.9833,-95.75,,17856755,None,4,1
